STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,centlat,centlong,id,GEO_id,GEO_id2,GEO_displa,ACS_14_5YR,ACS_14_5_1,GEO_id_1,GEO_id2_1,GEO_disp_1,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
expanded_label,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,centroid latitude,centroid longitude,,xxx,xxx,xxx,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),xxx,xxx,xxx,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
24,33,801216,2,1500000US240338012162,2.40E+11,2,BG,703925,0,38.76183587,-76.91954956,0,1500000US240338012162,2.40338E+11,"Block Group 2, Census Tract 8012.16, Prince George's County, Maryland",84951,7161,1500000US240338012162,2.40E+11,"Block Group 2, Census Tract 8012.16, Prince George's County, Maryland",228,86,24,23,13,21,11,14,204,84,24,25,180,88
24,33,802107,2,1500000US240338021072,2.40E+11,2,BG,216417,0,38.8450503,-76.90029658,0,1500000US240338021072,2.40338E+11,"Block Group 2, Census Tract 8021.07, Prince George's County, Maryland",54816,18255,1500000US240338021072,2.40E+11,"Block Group 2, Census Tract 8021.07, Prince George's County, Maryland",255,86,46,34,15,17,31,31,209,89,59,45,150,82
24,33,802106,3,1500000US240338021063,2.40E+11,3,BG,158884,0,38.84027361,-76.89860813,0,1500000US240338021063,2.40338E+11,"Block Group 3, Census Tract 8021.06, Prince George's County, Maryland",54048,11886,1500000US240338021063,2.40E+11,"Block Group 3, Census Tract 8021.06, Prince George's County, Maryland",372,83,59,48,0,12,59,48,313,86,19,23,294,86
24,33,803200,1,1500000US240338032001,2.40E+11,1,BG,1345476,2326,38.92236303,-76.90102962,0,1500000US240338032001,2.40338E+11,"Block Group 1, Census Tract 8032, Prince George's County, Maryland",43235,13717,1500000US240338032001,2.40E+11,"Block Group 1, Census Tract 8032, Prince George's County, Maryland",584,85,209,72,65,48,144,73,375,84,48,27,327,82
24,33,806900,2,1500000US240338069002,2.40E+11,2,BG,639200,0,39.01268364,-76.92472851,0,1500000US240338069002,2.40338E+11,"Block Group 2, Census Tract 8069, Prince George's County, Maryland",79469,4675,1500000US240338069002,2.40E+11,"Block Group 2, Census Tract 8069, Prince George's County, Maryland",399,76,44,40,14,16,30,37,355,74,63,40,292,75
24,33,803700,1,1500000US240338037001,2.40E+11,1,BG,556280,0,38.9434161,-76.88622299,0,1500000US240338037001,2.40338E+11,"Block Group 1, Census Tract 8037, Prince George's County, Maryland",68250,15322,1500000US240338037001,2.40E+11,"Block Group 1, Census Tract 8037, Prince George's County, Maryland",361,61,35,26,5,8,30,25,326,67,48,23,278,70
24,33,806602,1,1500000US240338066021,2.40E+11,1,BG,762830,0,38.96742181,-76.90711962,0,1500000US240338066021,2.40338E+11,"Block Group 1, Census Tract 8066.02, Prince George's County, Maryland",50491,7580,1500000US240338066021,2.40E+11,"Block Group 1, Census Tract 8066.02, Prince George's County, Maryland",872,98,234,81,60,47,174,71,638,106,31,27,607,109
24,33,804001,3,1500000US240338040013,2.40E+11,3,BG,222790,0,38.9445998,-76.91358946,0,1500000US240338040013,2.40338E+11,"Block Group 3, Census Tract 8040.01, Prince George's County, Maryland",49808,8772,1500000US240338040013,2.40E+11,"Block Group 3, Census Tract 8040.01, Prince George's County, Maryland",960,138,114,60,15,23,99,56,846,151,151,83,695,137
24,33,804801,2,1500000US240338048012,2.40E+11,2,BG,100405,0,38.94730203,-76.96855159,0,1500000US240338048012,2.40338E+11,"Block Group 2, Census Tract 8048.01, Prince George's County, Maryland",37059,5570,1500000US240338048012,2.40E+11,"Block Group 2, Census Tract 8048.01, Prince George's County, Maryland",234,75,26,24,0,12,26,24,208,76,10,16,198,76
24,33,805907,2,1500000US240338059072,2.40E+11,2,BG,40663,0,39.00524808,-76.97643812,0,1500000US240338059072,2.40338E+11,"Block Group 2, Census Tract 8059.07, Prince George's County, Maryland",61375,12902,1500000US240338059072,2.40E+11,"Block Group 2, Census Tract 8059.07, Prince George's County, Maryland",919,109,87,65,69,58,18,28,832,112,136,70,696,114
24,33,806601,3,1500000US240338066013,2.40E+11,3,BG,245606,0,38.95640305,-76.91928328,0,1500000US240338066013,2.40338E+11,"Block Group 3, Census Tract 8066.01, Prince George's County, Maryland",32019,5998,1500000US240338066013,2.40E+11,"Block Group 3, Census Tract 8066.01, Prince George's County, Maryland",598,99,121,84,14,22,107,79,477,105,26,31,451,108
24,33,806602,3,1500000US240338066023,2.40E+11,3,BG,598234,0,38.96692645,-76.91361352,0,1500000US240338066023,2.40338E+11,"Block Group 3, Census Tract 8066.02, Prince George's County, Maryland",69242,5883,1500000US240338066023,2.40E+11,"Block Group 3, Census Tract 8066.02, Prince George's County, Maryland",300,86,21,15,8,13,13,14,279,88,25,23,254,85
24,33,807404,3,1500000US240338074043,2.40E+11,3,BG,787632,0,39.04316984,-76.90848562,0,1500000US240338074043,2.40338E+11,"Block Group 3, Census Tract 8074.04, Prince George's County, Maryland",78000,12568,1500000US240338074043,2.40E+11,"Block Group 3, Census Tract 8074.04, Prince George's County, Maryland",610,77,21,24,13,20,8,13,589,79,104,52,485,83
24,33,805500,1,1500000US240338055001,2.40E+11,1,BG,671553,0,38.97777746,-76.98371721,0,1500000US240338055001,2.40338E+11,"Block Group 1, Census Tract 8055, Prince George's County, Maryland",81742,18127,1500000US240338055001,2.40E+11,"Block Group 1, Census Tract 8055, Prince George's County, Maryland",680,80,39,42,0,12,39,42,641,78,141,59,500,85
24,33,806714,1,1500000US240338067141,2.40E+11,1,BG,206783,0,39.00289387,-76.90607759,0,1500000US240338067141,2.40338E+11,"Block Group 1, Census Tract 8067.14, Prince George's County, Maryland",61555,4386,1500000US240338067141,2.40E+11,"Block Group 1, Census Tract 8067.14, Prince George's County, Maryland",742,119,208,72,48,41,160,60,534,135,90,70,444,127
24,33,801408,2,1500000US240338014082,2.40E+11,2,BG,2166145,0,38.79883066,-76.96640204,0,1500000US240338014082,2.40338E+11,"Block Group 2, Census Tract 8014.08, Prince George's County, Maryland",61293,13672,1500000US240338014082,2.40E+11,"Block Group 2, Census Tract 8014.08, Prince George's County, Maryland",500,110,85,58,0,12,85,58,415,86,157,73,258,80
24,33,805601,3,1500000US240338056013,2.40E+11,3,BG,240029,0,38.9905995,-76.98720264,0,1500000US240338056013,2.40338E+11,"Block Group 3, Census Tract 8056.01, Prince George's County, Maryland",41747,9586,1500000US240338056013,2.40E+11,"Block Group 3, Census Tract 8056.01, Prince George's County, Maryland",733,116,84,56,37,43,47,31,649,130,98,73,551,125
24,31,701420,4,1500000US240317014204,2.40E+11,4,BG,802740,0,39.06183438,-76.94438465,0,1500000US240317014204,2.40317E+11,"Block Group 4, Census Tract 7014.20, Montgomery County, Maryland",111213,34811,1500000US240317014204,2.40E+11,"Block Group 4, Census Tract 7014.20, Montgomery County, Maryland",437,85,24,42,0,12,24,42,413,87,93,67,320,105
24,33,802001,1,1500000US240338020011,2.40E+11,1,BG,442820,0,38.8366926,-76.90987193,0,1500000US240338020011,2.40338E+11,"Block Group 1, Census Tract 8020.01, Prince George's County, Maryland",67583,24747,1500000US240338020011,2.40E+11,"Block Group 1, Census Tract 8020.01, Prince George's County, Maryland",567,154,133,87,15,24,118,90,434,137,91,81,343,127
